iter	Passed	Remaining
0	54	16331
1	82	12289
2	106	10549
3	129	9587
4	156	9205
5	182	8944
6	208	8709
7	231	8438
8	257	8316
9	281	8163
10	307	8087
11	332	7975
12	355	7843
13	383	7830
14	408	7753
15	432	7679
16	456	7601
17	481	7541
18	503	7449
19	527	7388
20	552	7336
21	576	7281
22	608	7329
23	631	7259
24	654	7204
25	681	7181
26	704	7126
27	728	7077
28	751	7026
29	776	6985
30	799	6939
31	828	6936
32	852	6899
33	875	6852
34	899	6812
35	924	6780
36	949	6751
37	987	6807
38	1011	6770
39	1040	6762
40	1065	6730
41	1092	6709
42	1114	6660
43	1137	6619
44	1162	6587
45	1185	6548
46	1209	6510
47	1234	6478
48	1260	6458
49	1286	6432
50	1311	6403
51	1334	6364
52	1359	6335
53	1382	6296
54	1401	6244
55	1425	6210
56	1449	6178
57	1475	6155
58	1494	6106
59	1517	6069
60	1541	6039
61	1564	6006
62	1589	5977
63	1612	5947
64	1637	5920
65	1662	5894
66	1687	5867
67	1711	5838
68	1735	5808
69	1760	5785
70	1786	5760
71	1812	5738
72	1835	5706
73	1860	5681
74	1883	5650
75	1912	5637
76	1935	5605
77	1961	5582
78	1991	5572
79	2015	5543
80	2038	5510
81	2061	5481
82	2086	5455
83	2110	5425
84	2137	5407
85	2162	5380
86	2186	5352
87	2209	5323
88	2234	5298
89	2259	5271
90	2282	5242
91	2305	5212
92	2330	5187
93	2356	5164
94	2380	5136
95	2402	5104
96	2425	5075
97	2449	5049
98	2474	5023
99	2499	4998
100	2524	4974
101	2548	4946
102	2578	4931
103	2601	4902
104	2626	4877
105	2651	4852
106	2673	4822
107	2696	4793
108	2721	4768
109	2743	4738
110	2766	4710
111	2793	4688
112	2818	4663
113	2837	4629
114	2862	4605
115	2886	4578
116	2909	4550
117	2933	4524
118	2968	4515
119	2998	4497
120	3037	4492
121	3061	4467
122	3085	4440
123	3110	4414
124	3129	4381
125	3155	4358
126	3179	4330
127	3205	4307
128	3232	4284
129	3255	4257
130	3281	4232
131	3305	4207
132	3330	4182
133	3353	4154
134	3377	4128
135	3402	4103
136	3432	4084
137	3455	4056
138	3477	4028
139	3500	4000
140	3524	3974
141	3549	3949
142	3571	3921
143	3595	3895
144	3615	3864
145	3648	3848
146	3672	3822
147	3693	3793
148	3717	3767
149	3741	3741
150	3765	3715
151	3789	3689
152	3814	3664
153	3839	3639
154	3870	3620
155	3893	3593
156	3916	3566
157	3940	3541
158	3974	3524
159	3999	3499
160	4021	3472
161	4046	3446
162	4065	3417
163	4097	3397
164	4120	3371
165	4141	3342
166	4163	3316
167	4185	3288
168	4211	3264
169	4234	3238
170	4257	3212
171	4281	3186
172	4308	3162
173	4333	3138
174	4359	3113
175	4382	3088
176	4407	3062
177	4432	3037
178	4456	3012
179	4481	2987
180	4506	2963
181	4540	2943
182	4562	2917
183	4585	2890
184	4610	2865
185	4634	2840
186	4659	2815
187	4679	2787
188	4703	2762
189	4725	2735
190	4750	2710
191	4774	2685
192	4798	2660
193	4824	2636
194	4847	2610
195	4871	2585
196	4895	2559
197	4918	2533
198	4954	2514
199	4981	2490
200	5007	2466
201	5031	2440
202	5054	2415
203	5076	2389
204	5102	2364
205	5127	2339
206	5144	2311
207	5174	2288
208	5235	2279
209	5267	2257
210	5307	2238
211	5331	2213
212	5355	2187
213	5378	2161
214	5404	2136
215	5428	2111
216	5451	2085
217	5474	2059
218	5498	2033
219	5523	2008
220	5546	1982
221	5569	1956
222	5594	1931
223	5623	1907
224	5649	1883
225	5673	1857
226	5696	1831
227	5720	1806
228	5742	1780
229	5765	1754
230	5790	1729
231	5814	1704
232	5846	1681
233	5870	1655
234	5895	1630
235	5917	1604
236	5951	1581
237	5974	1556
238	5999	1531
239	6023	1505
240	6051	1481
241	6080	1457
242	6112	1433
243	6135	1408
244	6158	1382
245	6183	1357
246	6208	1332
247	6231	1306
248	6258	1281
249	6286	1257
250	6309	1231
251	6332	1206
252	6356	1180
253	6380	1155
254	6404	1130
255	6428	1104
256	6452	1079
257	6482	1055
258	6504	1029
259	6528	1004
260	6552	979
261	6576	953
262	6595	927
263	6619	902
264	6643	877
265	6666	852
266	6693	827
267	6716	801
268	6740	776
269	6765	751
270	6788	726
271	6812	701
272	6836	676
273	6860	651
274	6885	625
275	6921	601
276	6948	576
277	6972	551
278	6997	526
279	7021	501
280	7041	476
281	7064	450
282	7090	425
283	7114	400
284	7145	376
285	7169	350
286	7194	325
287	7216	300
288	7240	275
289	7264	250
290	7290	225
291	7312	200
292	7336	175
293	7369	150
294	7392	125
295	7417	100
296	7439	75
297	7464	50
298	7487	25
299	7512	0
